search_id,site_id,visitor_location_country_id,destination_country_id,destination_id,destination_starrating,destination_review_score,destination_location_score1,destination_location_score2,position,price_usd,promo_flag,search_length_of_stay,search_room_count,search_query_affinity_score,user_interaction,grad_rel,weekday,timestamp,output_score
2013-06-25 15:39:35,5,Canada,USA,5439,2,3.5,0.69,0.0008,22,90.0,0,1,1,,0,no_click,1,1372174775.0,-2.7725393222183867
2013-06-25 15:39:35,5,Japan,USA,5449,0,4.5,0.0,0.0002,30,100.0,0,1,1,,0,no_click,1,1372174775.0,-2.648371789027955
2013-06-25 15:39:35,5,Mexico,Mexico,6997,3,4.5,1.1,0.0018,34,109.0,0,1,1,,0,no_click,1,1372174775.0,-1.373780590540443
2013-06-25 15:39:35,5,Mexico,Canada,10797,2,3.0,1.39,0.0018,18,86.0,0,1,1,,0,no_click,1,1372174775.0,-2.353840731735118
2013-06-25 15:39:35,5,USA,USA,14142,2,3.5,2.71,0.0086,4,69.0,0,1,1,,0,no_click,1,1372174775.0,-2.30663983105059
2013-06-25 15:39:35,5,France,Canada,18221,3,4.5,1.39,0.0048,28,99.0,0,1,1,,0,no_click,1,1372174775.0,-1.2102608331005855
2013-06-25 15:39:35,5,Brazil,USA,21495,3,4.0,1.39,0.0009,32,103.0,0,1,1,,0,no_click,1,1372174775.0,-1.620359047640464
2013-06-25 15:39:35,5,Canada,USA,22883,2,4.0,3.09,0.0123,14,82.0,0,1,1,,0,no_click,1,1372174775.0,-2.269364310513097
2013-06-25 15:39:35,5,UK,Mexico,24452,2,2.5,2.08,0.0137,10,77.0,1,1,1,,0,no_click,1,1372174775.0,-2.24446658181937
2013-06-25 15:39:35,5,China,Canada,25511,0,2.5,0.0,0.0006,7,70.0,0,1,1,,0,no_click,1,1372174775.0,-2.8754550230138767
2013-06-25 15:39:35,5,USA,Canada,29333,3,3.5,1.79,0.0063,11,80.0,0,1,1,,0,no_click,1,1372174775.0,-2.25496233689574
2013-06-25 15:39:35,5,South Africa,Mexico,31940,2,2.5,1.95,0.0025,1,56.0,0,1,1,,0,no_click,1,1372174775.0,-1.769541522059742
2013-06-25 15:39:35,5,Mexico,Japan,32934,2,3.0,0.69,0.0008,26,95.0,0,1,1,,0,no_click,1,1372174775.0,-3.219804899392067
2013-06-25 15:39:35,5,India,UK,42779,2,3.5,1.39,0.0026,5,70.0,0,1,1,,0,no_click,1,1372174775.0,-1.5889622897604845
2013-06-25 15:39:35,5,France,Mexico,48883,2,2.5,1.95,0.0038,9,76.0,0,1,1,,0,no_click,1,1372174775.0,-2.2467929136257334
2013-06-25 15:39:35,5,USA,UK,48955,2,3.0,1.1,0.0046,2,63.0,1,1,1,,0,no_click,1,1372174775.0,-1.568389583126571
2013-06-25 15:39:35,5,UK,Canada,54139,2,2.5,1.1,0.0105,15,83.0,1,1,1,,0,no_click,1,1372174775.0,-1.811563345375488
2013-06-25 15:39:35,5,USA,USA,54833,2,2.0,1.1,0.001,3,65.0,0,1,1,,0,no_click,1,1372174775.0,-2.09785080986004
2013-06-25 15:39:35,5,Mexico,Mexico,56050,3,4.0,2.77,0.0109,35,109.0,0,1,1,,0,no_click,1,1372174775.0,-1.82733879866933
2013-06-25 15:39:35,5,Canada,Canada,67867,2,4.0,1.1,0.0,16,85.0,1,1,1,,0,no_click,1,1372174775.0,-1.271508872850606
2013-06-25 15:39:35,5,South Africa,USA,76439,2,3.5,1.1,0.0018,13,80.0,0,1,1,,0,no_click,1,1372174775.0,-2.1517401057056342
2013-06-25 15:39:35,5,USA,UK,95600,2,2.0,0.69,0.0001,12,80.0,0,1,1,,0,no_click,1,1372174775.0,-2.763926363590808
2013-06-25 15:39:35,5,China,USA,100632,2,3.5,1.1,0.0012,6,70.0,0,1,1,,0,no_click,1,1372174775.0,-2.3265226072625556
2013-06-25 15:39:35,5,France,Mexico,103860,2,3.0,2.89,0.0568,23,92.0,0,1,1,,1,click_no_booking,1,1372174775.0,-1.6707410155921882
2013-06-25 15:39:35,5,Mexico,Mexico,105910,3,3.5,1.95,0.0019,27,96.0,0,1,1,,0,no_click,1,1372174775.0,-2.048933972880408
2013-06-25 15:39:35,5,USA,USA,107576,2,3.5,0.69,0.0008,19,89.0,0,1,1,,0,no_click,1,1372174775.0,-2.7132859890821166
2013-06-25 15:39:35,5,France,USA,115617,3,3.0,0.0,0.0009,36,109.0,0,1,1,,0,no_click,1,1372174775.0,-2.3489975504721823
2013-06-25 15:39:35,5,France,USA,116536,2,4.0,1.1,0.0019,24,93.0,0,1,1,,0,no_click,1,1372174775.0,-2.0496303672412624
2013-06-25 15:39:35,5,South Africa,UK,123469,2,3.0,1.1,0.001,21,90.0,0,1,1,,0,no_click,1,1372174775.0,-3.224031034156417
2013-06-25 15:39:35,5,UK,USA,127688,2,3.5,1.95,0.0127,17,85.0,1,1,1,,0,no_click,1,1372174775.0,-2.6069430519841545
2013-06-25 15:39:35,5,USA,USA,128085,2,3.0,2.4,0.0086,8,75.0,0,1,1,,0,no_click,1,1372174775.0,-2.4975798865762027
2013-06-25 15:39:35,5,USA,Canada,128605,2,3.5,1.39,0.0001,25,95.0,1,1,1,,0,no_click,1,1372174775.0,-2.464891076973327
2013-06-25 15:39:35,5,Brazil,Mexico,129044,3,3.5,0.0,0.0031,31,100.0,0,1,1,,0,no_click,1,1372174775.0,-2.3996976459828994
2013-06-25 15:39:35,5,USA,USA,135153,3,4.0,1.39,0.0003,33,108.0,0,1,1,,0,no_click,1,1372174775.0,-2.2423118157845887
2013-06-25 15:39:35,5,Mexico,Canada,138061,2,4.0,1.1,0.0006,29,99.0,0,1,1,,0,no_click,1,1372174775.0,-2.8519776888157944
2013-06-25 15:39:35,5,China,Canada,138112,3,3.5,2.56,0.026,20,89.0,0,1,1,,0,no_click,1,1372174775.0,-2.3897132223272783
2013-05-28 09:57:11,5,UK,Canada,2543,3,3.0,3.22,0.0655,27,75.0,0,5,1,,0,no_click,1,1369735031.0,-0.4832475341572504
2013-05-28 09:57:11,5,India,USA,3469,3,4.5,2.3,0.0155,8,98.0,1,5,1,,0,no_click,1,1369735031.0,-0.1941285314847611
2013-05-28 09:57:11,5,Mexico,UK,5922,4,4.5,0.0,0.0154,24,149.0,1,5,1,,0,no_click,1,1369735031.0,-0.7427231950502078
2013-05-28 09:57:11,5,Japan,Canada,6100,3,3.5,2.48,0.0085,4,115.0,0,5,1,,0,no_click,1,1369735031.0,-1.7084501227186322
2013-05-28 09:57:11,5,France,Japan,10708,3,3.5,0.69,0.002,33,100.0,0,5,1,,0,no_click,1,1369735031.0,-1.269317230293107
2013-05-28 09:57:11,5,China,Mexico,14198,2,3.5,2.4,0.0092,15,85.0,0,5,1,,0,no_click,1,1369735031.0,-1.5240818773163165
2013-05-28 09:57:11,5,USA,Japan,15447,3,3.5,3.0,0.0085,18,97.0,0,5,1,,0,no_click,1,1369735031.0,-1.1971465145151543
2013-05-28 09:57:11,5,France,USA,15930,2,2.0,1.39,0.0086,30,68.0,0,5,1,,0,no_click,1,1369735031.0,-2.1585489053633387
2013-05-28 09:57:11,5,South Africa,Japan,18634,3,4.5,2.83,0.0175,31,170.0,0,5,1,,0,no_click,1,1369735031.0,-1.3113327153889167
2013-05-28 09:57:11,5,South Africa,Japan,19374,2,3.5,3.26,0.0316,10,56.0,0,5,1,,0,no_click,1,1369735031.0,-0.5717972078435419
2013-05-28 09:57:11,5,USA,USA,23698,3,3.5,1.39,0.0044,28,124.0,0,5,1,,0,no_click,1,1369735031.0,-1.7932221205761785
2013-05-28 09:57:11,5,Brazil,Canada,24525,3,3.5,3.04,0.0175,6,100.0,0,5,1,,0,no_click,1,1369735031.0,-0.6037054357370162
2013-05-28 09:57:11,5,India,USA,28398,3,4.0,2.4,0.0323,14,105.0,1,5,1,,1,click_no_booking,1,1369735031.0,-1.1262957464978245
2013-05-28 09:57:11,5,China,Canada,29480,2,3.5,2.64,0.0148,26,77.0,0,5,1,,0,no_click,1,1369735031.0,-1.561128490135116
2013-05-28 09:57:11,5,UK,Japan,31286,2,4.0,1.1,0.0104,3,63.0,0,5,1,,0,no_click,1,1369735031.0,-0.7965957937943983
2013-05-28 09:57:11,5,Japan,Japan,32390,4,4.5,2.83,0.0521,1,101.0,1,5,1,,0,no_click,1,1369735031.0,0.5818424217208229
2013-05-28 09:57:11,5,Canada,UK,33692,3,4.0,1.39,0.003,19,95.0,0,5,1,,0,no_click,1,1369735031.0,-0.7513365897502914
2013-05-28 09:57:11,5,Canada,USA,45255,3,3.0,3.33,0.0116,29,78.0,0,5,1,,0,no_click,1,1369735031.0,-1.5788557929954767
2013-05-28 09:57:11,5,Canada,USA,55467,2,3.0,3.26,0.0621,12,54.0,0,5,1,,0,no_click,1,1369735031.0,-1.5798571051908803
2013-05-28 09:57:11,5,Mexico,USA,59769,2,3.5,2.83,0.0357,21,75.0,0,5,1,,0,no_click,1,1369735031.0,-1.0053420047687012
2013-05-28 09:57:11,5,Mexico,USA,63896,2,3.0,3.04,0.0187,20,51.0,0,5,1,,0,no_click,1,1369735031.0,-1.1229534005016029
2013-05-28 09:57:11,5,South Africa,USA,64175,4,4.5,2.48,0.0055,37,309.0,0,5,1,,0,no_click,1,1369735031.0,-2.1765373799989836
2013-05-28 09:57:11,5,USA,Canada,68230,3,3.5,3.09,0.0374,7,53.0,1,5,1,,0,no_click,1,1369735031.0,-0.4300530704729425
